,train,val,test
TCGA-A6-2675-11A-01-TS1,True,False,False
TCGA-A6-2676-11A-01-TS1,True,False,False
TCGA-A6-2678-11A-01-TS1,True,False,False
TCGA-A6-2679-11A-01-TS1,True,False,False
TCGA-A6-2680-11A-01-TS1,True,False,False
TCGA-A6-2684-11A-01-TS1,True,False,False
TCGA-A6-3807-11A-01-TS1,True,False,False
TCGA-A6-3807-11A-01-BS1,True,False,False
TCGA-A6-2671-01A-01-BS1,True,False,False
TCGA-A6-2671-11A-01-TS1,True,False,False
TCGA-A6-2672-11A-01-TS1,True,False,False
TCGA-A6-2672-01A-01-BS1,True,False,False
TCGA-A6-2681-11A-01-TS1,True,False,False
TCGA-A6-2681-01A-01-BS1,True,False,False
TCGA-A6-2682-11A-01-TS1,True,False,False
TCGA-A6-2682-01A-01-TS1,True,False,False
TCGA-A6-2685-11A-01-TS1,True,False,False
TCGA-A6-2685-01A-01-BS1,True,False,False
TCGA-A6-2686-01A-01-BS1,True,False,False
TCGA-A6-2686-11A-01-TS1,True,False,False
TCGA-A6-3810-11A-01-BS1,True,False,False
TCGA-A6-3810-11A-01-TS1,True,False,False
TCGA-A6-3810-01A-01-BS1,True,False,False
TCGA-A6-4105-01A-01-BS1,True,False,False
TCGA-A6-4107-01A-01-BS1,True,False,False
TCGA-A6-4107-11A-01-BS1,True,False,False
TCGA-A6-4107-11A-01-TS1,True,False,False
TCGA-A6-5660-01A-01-BS1,True,False,False
TCGA-A6-5661-01A-01-BS1,True,False,False
TCGA-A6-5662-01A-01-TS1,True,False,False
TCGA-A6-5666-01A-01-TS1,True,False,False
TCGA-AA-3489-01A-02-BS2,True,False,False
TCGA-AA-3492-01A-01-TS1,True,False,False
TCGA-AA-3494-01A-01-TS1,True,False,False
TCGA-A6-2674-11A-01-TS1,False,True,False
TCGA-A6-2677-11A-01-TS1,False,True,False
TCGA-A6-2677-01A-01-BS1,False,True,False
TCGA-A6-5657-01A-01-TS1,False,True,False
TCGA-A6-2683-11A-01-TS1,False,False,True
TCGA-A6-5656-01A-01-BS1,False,False,True
TCGA-AA-3510-01A-01-TS1,False,False,True
